POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,FAKE_OR_SYNTH
37.2795579,-122.0182492,95070,,0.21049710133731747,,,1
37.2795579,-122.0131001,95070,,0.16202303579984867,,,1
37.2795579,-122.0108646,95070,,0.3118173618308712,,,1
37.2795579,-122.008969,95070,,0.4413673406987518,,,1
37.2795579,-122.002583,95070,,0.8809231858463815,,,1
37.2795579,-121.9975566,95070,,1.2277549093846687,,,1
37.2795579,-121.9954484,95070,,1.3732972352497206,,,1
37.2795579,-121.9894266,95070,,1.789135850826221,,,1
37.2795579,-121.988956,95051,,1.8194956434124054,,,1
37.2795579,-121.9888017,95032,,1.8145364329777345,,,1
37.2795579,-121.9842032,95032,,1.5514295364248651,,,1
37.2795579,-121.9787602,95032,,1.2726502641802067,,,1
37.2795579,-121.9744865,95032,,1.0953271857991755,,,1
37.2795579,-121.9701014,95032,,0.9747742469227539,,,1
37.2795579,-121.9675657,95032,,0.9432207211253961,,,1
37.2795579,-121.964513,95032,,0.9477646166279419,,,1
37.2795579,-121.9598291,95032,,1.0413723842174676,,,1
37.2795579,-121.9594172,95032,,1.0539696876631626,,,1
37.2795579,-121.9591318,95032,,1.063057603282855,,,1
37.2795579,-121.9550796,95032,,1.2194991676687401,,,1
37.2795579,-121.9539787,95032,,1.2693609537103019,,,1
37.2795579,-121.949879,95008,,1.179330858188676,,,1
37.28168967616788,-122.0189597,95070,,0.2534490301315487,,,1
37.28168967616788,-122.0166085,95070,,0.09290184,,,1
37.28168967616788,-122.0159186,95070,,0.048288662,,,1
37.28168967616788,-122.0137783,95070,,0.10822018888188992,,,1
37.28168967616788,-122.011514,95070,,0.2631583281842401,,,1
37.28168967616788,-122.0112123,95070,,0.2839284518246336,,,1
37.28168967616788,-122.0102665,95070,,0.34909996175231134,,,1
37.28168967616788,-122.0061486,95070,,0.6332838277915667,,,1
37.28168967616788,-122.0036798,95070,,0.8037800595475466,,,1
37.28168967616788,-121.998489,95070,,1.1623465569578821,,,1
37.28168967616788,-121.9960314,95070,,1.332130718205129,,,1
37.28168967616788,-121.9906291,95070,,1.7053715601340318,,,1
37.28168967616788,-121.9855373,95032,,1.6720484234601338,,,1
37.28168967616788,-121.9825733,95032,,1.514651418037788,,,1
37.28168967616788,-121.9801176,95032,,1.3936112147643518,,,1
37.28168967616788,-121.9781687,95032,,1.3052847843476012,,,1
37.28168967616788,-121.9715948,95032,,1.080357496934696,,,1
37.28168967616788,-121.971006,95032,,1.0673552620923867,,,1
37.28168967616788,-121.9708138,95032,,1.0634135876734734,,,1
37.28168967616788,-121.9697496,95032,,1.0443795203552808,,,1
37.28168967616788,-121.9673963,95032,,1.0200041465549439,,,1
37.28168967616788,-121.9614736,95032,,1.0713503575504235,,,1
37.28312774982139,-122.0189932,95070,,0.26580553961947484,,,1
