POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST_SCALED,POLE_ZONE,SYNTH_SENSOR_DATA,FAKE_OR_SYNTH,POLE_CRITICALITY_LABELED,POLE_CRITICALITY_CALC
37.30047905567989,-121.9543924,95008,0.3973102988166719,1,0,0.3333333333333333,1,,
37.28168967616788,-122.0189597,95070,0.2687682151760946,0.3333005053762845,1,0.6666666666666666,1,,
37.28168967616788,-122.0166085,95070,0.2687682151760946,0.3323672957844699,1,0.3333333333333333,1,,
37.2795579,-121.9894266,95070,0.2687682151760946,0.3275874891572397,1,0.3333333333333333,1,,
37.29810702197494,-121.9530383,95008,0.3973102988166719,0.3257615805265723,0,0.6666666666666666,1,,
37.2795579,-121.9550796,95032,0.2202412303802802,0.3237097648387237,1,0.6666666666666666,1,,
37.28863590103395,-121.9624128,95032,0.2202412303802802,0.3218646254111946,1,0.3333333333333333,1,,
37.285707212548765,-121.9712965,95032,0.2202412303802802,0.317685271,1,0.6666666666666666,1,,
37.28863590103395,-121.9571407,95032,0.2202412303802802,0.3165491638202852,1,0.6666666666666666,1,,
37.29180839745155,-122.0148289,95070,0.2687682151760946,0.3165326602549391,1,0.6666666666666666,1,,
37.285707212548765,-121.9768024,95032,0.2202412303802802,0.3148375928952683,1,0.6666666666666666,1,,
37.2795579,-121.9591318,95032,0.2202412303802802,0.3146599076778059,1,0.6666666666666666,1,,
37.28863590103395,-121.9685083,95032,0.2202412303802802,0.3142017241149712,1,0.3333333333333333,1,,
37.30497149927326,-121.9943138,95051,0.4769040345517749,0.31229465,0,1,1,,
37.285707212548765,-122.0094674,95070,0.2687682151760946,0.3118249720075334,1,0.3333333333333333,1,,
37.28998653212473,-121.9981833,95070,0.2687682151760946,0.3111272228297438,1,0.3333333333333333,1,,
37.285707212548765,-121.9359549,95008,0.3973102988166719,0.3085052938663036,0,1,1,,
37.29738879340449,-121.9474158,95008,0.3973102988166719,0.3081670727079585,0,0.3333333333333333,1,,
37.30285737467109,-121.9931802,95051,0.4769040345517749,0.3076168945169156,0,1,1,,
37.30285737467109,-121.9939976,95051,0.4769040345517749,0.3061169374508045,0,0.6666666666666666,1,,
37.285707212548765,-122.003931,95070,0.2687682151760946,0.3055543224387989,1,1,1,,
37.29899464155224,-121.9651317,95032,0.2202412303802802,0.3055130701302909,1,1,1,,
37.299185767367966,-122.0064041,95070,0.2687682151760946,0.3053203981172105,1,0.3333333333333333,1,,
37.30054191,-121.9989353,95051,0.4769040345517749,0.3046456035649559,0,0.3333333333333333,1,,
37.30851986016577,-121.9964838,95051,0.4769040345517749,0.3043654997425002,0,0.3333333333333333,1,,
37.2765438,-122.170425,95070,0.2687682151760946,0.3042997804160652,1,0.6666666666666666,0,,
37.30497149927326,-121.9947377,95051,0.4769040345517749,0.3018709205455123,0,0.3333333333333333,1,,
37.30054191,-122.0023205,95051,0.4769040345517749,0.3017854266383988,0,0.3333333333333333,1,,
37.285707212548765,-121.9827065,95032,0.2202412303802802,0.3016470987136053,1,0.3333333333333333,1,,
37.28863590103395,-121.9693154,95032,0.2202412303802802,0.3012128806056345,1,1,1,,
