Index,POLE_SUB_DIST
1,0.210497101337317
2,0.162023035799848
3,0.311817361830871
4,0.441367340698751
5,0.880923185846381
6,1.227754909384660
7,1.373297235249720
8,1.789135850826220
9,0.253449030131548
10,0.092901840000000
11,0.048288662000000
12,0.108220188881889
13,0.263158328184240
14,0.283928451824633
15,0.349099961752311
16,0.633283827791566
17,0.803780059547546
18,1.162346556957880
19,1.332130718205120
20,1.705371560134030
21,0.265805539619474
22,0.086829498000000
23,0.210169816773874
24,0.255401505614718
25,0.519925098265068
26,0.671042769396527
27,0.855659332605357
28,1.202143966653830
29,1.376344303375360
30,1.553304933795250
31,1.608739777867060
32,1.635181913816970
33,0.172294858403108
34,0.438098529822240
35,0.804371799075952
36,1.235852624481860
37,0.395248106529551
38,0.286307445217787
39,0.426074878958425
40,0.563282467112285
41,0.573851324053220
42,0.849409639671607
43,1.000275978172710
44,1.203197077830320
45,0.293387272945311
46,0.310039197696878
47,0.479678389030213
48,0.662661029000000
49,0.947711131969568
50,1.129968251595190
51,1.299459787189060
52,1.373893223294140
53,0.363316931976907
54,0.368850568873417
55,0.687931337730444
56,0.862836533000000
57,1.227658139649350
58,0.395462670953152
59,0.406477551267768
60,0.656160944674033
61,0.889373986734764
62,0.923996732502621
63,1.018206361426970
64,1.045729968568820
65,0.475857760741633
66,0.462382893458883
67,0.620372731755684
68,0.843784058458381
69,0.929711675028356
70,1.163599880663710
71,0.563922499359622
72,0.520249063708436
73,0.502041981696064
74,0.583670132769527
75,0.907365828000000
76,1.208768242816790
77,0.672065604262652
78,0.604907533073217
79,0.573125907125763
80,0.764091445932159
81,1.039838678917880
82,0.698593720853018
83,0.603141513339957
84,0.647965131000000
85,0.825578939955022
86,1.002846513318090
87,0.624810777000000
88,0.667512894191342
89,0.728900548817720
90,0.737368620201231
91,0.798360189066779
92,1.079893012846020
93,0.660325446000000
94,0.684778399054648
95,0.695538221413500
96,0.788066809000000
97,1.078561561726080
98,0.664333103723970
99,0.800943253745312
100,0.905365944000000
101,1.095852344438470
102,0.712793070517942
103,0.827207981494194
104,0.899010578132343
105,1.044639644112340
106,0.771627984172833
107,0.728640461904177
108,0.740260042556493
109,0.756318706684132
110,0.920672619141632
111,0.933354581434862
112,0.963483008343479
113,0.803623967688843
114,0.723789333927980
115,0.837408335000000
116,0.863040383757322
