POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,SYNTH_SENSOR_DATA,FAKE_OR_SYNTH,POLE_CRIT_LABEL,POLE_CRIT_CALC
37.3004791,-121.9543924,95008,0.397310299,1.436875148,,0,0.333333333,1,,
37.298107,-121.9530383,95008,0.397310299,1.328130838,,0,0.333333333,1,,
37.2989946,-121.956237,95008,0.397310299,1.551455868,,0,0.333333333,1,,
37.2882109,-121.9546855,95008,0.397310299,1.428484694,,0,0.333333333,1,,
37.2989946,-121.953034,95008,0.397310299,1.333795539,,0,0.333333333,1,,
37.2960894,-121.9519983,95008,0.397310299,1.246129784,,0,0.333333333,1,,
37.2857072,-121.9531547,95008,0.397310299,1.335567161,,0,0.333333333,1,,
37.2945064,-121.9559328,95008,0.397310299,1.511481781,,0,0.333333333,1,,
37.3085199,-121.9511797,95008,0.397310299,1.327750265,,0,0.333333333,1,,
37.3075707,-121.9503694,95008,0.397310299,1.262090092,,0,0.333333333,1,,
37.3075707,-121.9537064,95008,0.397310299,1.471190514,,0,0.333333333,1,,
37.3049715,-121.9572833,95008,0.397310299,1.671829203,,0,0.333333333,1,,
37.2989946,-121.9521803,95008,0.397310299,1.27599473,,0,0.333333333,1,,
37.2816897,-122.0189597,95070,0.268768215,0.25344903,,1,1,1,,
37.2816897,-122.0166085,95070,0.268768215,0.09290184,,1,1,1,,
37.2918084,-122.0148289,95070,0.268768215,0.395462671,,1,1,1,,
37.2857072,-122.0094674,95070,0.268768215,0.43809853,,1,1,1,,
37.2816897,-122.0159186,95070,0.268768215,0.048288662,,1,1,1,,
37.2945064,-122.0107829,95070,0.268768215,0.583670133,,1,1,1,,
37.2857072,-122.0156579,95070,0.268768215,0.172294858,,1,1,1,,
37.2882109,-122.0169681,95070,0.268768215,0.286307445,,1,1,1,,
37.2831277,-122.0147021,95070,0.268768215,0.086829498,,1,1,1,,
37.2936298,-122.0147542,95070,0.268768215,0.462382893,,1,1,1,,
37.2882109,-122.0104479,95070,0.268768215,0.426074879,,1,1,1,,
37.2882109,-122.008093,95070,0.268768215,0.563282467,,1,1,1,,
37.2816897,-122.0061486,95070,0.268768215,0.633283828,,1,1,1,,
37.2831277,-122.0124721,95070,0.268768215,0.210169817,,1,1,1,,
37.2795579,-122.0182492,95070,0.268768215,0.210497101,,1,1,1,,
37.2795579,-122.0131001,95070,0.268768215,0.162023036,,1,1,1,,
37.2886359,-122.0133168,95070,0.268768215,0.310039198,,1,1,1,,
37.2767965,-122.0170435,95070,0.268768215,0.196660302,,1,1,0,,
37.2761554,-122.0146761,95070,0.268768215,0.184544627,,1,1,0,,
37.2786442,-122.0170232,95070,0.268768215,0.147737683,,1,1,0,,
37.2768026,-122.0170616,95070,0.268768215,0.197249374,,1,1,0,,
37.2803671,-122.014639,95070,0.268768215,0.052533365,,1,1,0,,
37.2792909,-122.0207976,95070,0.268768215,0.384797486,,1,1,0,,
37.2776272,-122.0157497,95070,0.268768215,0.129073162,,1,1,0,,
