,POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,SYNTH_SENSOR_DATA,FAKE_OR_SYNTH,POLE_CRIT_LABEL,POLE_CRIT_CALC
0,37.3004791,-121.9543924,95008,0.397310299,1.436875147914870,0.783977536,0,0,1,,
1,37.2816897,-122.0189597,95070,0.268768215,0.25344903,0.115830826,1,0,1,,
2,37.2816897,-122.0166085,95070,0.268768215,0.09290184,0.025188009,1,0,1,,
3,37.2795579,-121.9894266,95070,0.268768215,1.789135850826220,0.982859263,1,0,1,,
4,37.298107,-121.9530383,95008,0.397310299,1.328130837593520,0.722581939,0,0,1,,
5,37.2795579,-121.9550796,95032,0.22024123,1.219499167668740,0.661249937,1,0,1,,
6,37.2886359,-121.9624128,95032,0.22024123,1.299981771398320,0.706689349,1,0,1,,
7,37.2857072,-121.9712965,95032,0.22024123,1.213793253914310,0.658028454,1,0,1,,
8,37.2886359,-121.9571407,95032,0.22024123,1.421253673361610,0.775157859,1,0,1,,
9,37.2918084,-122.0148289,95070,0.268768215,0.395462671,0.196009847,1,0,1,,
10,37.2857072,-121.9768024,95032,0.22024123,1.370768066539990,0.746654354,1,0,1,,
11,37.2795579,-121.9591318,95032,0.22024123,1.063057603282850,0.572925102,1,0,1,,
12,37.2886359,-121.9685083,95032,0.22024123,1.280324697869690,0.695591226,1,0,1,,
13,37.3049715,-121.9943138,95051,0.476904035,0.829345902,0.440974572,0,0,1,,
14,37.2857072,-122.0094674,95070,0.268768215,0.43809853,0.220081488,1,0,1,,
15,37.2899865,-121.9981833,95070,0.268768215,1.227658139649350,0.665856385,1,0,1,,
16,37.2857072,-121.9359549,95008,0.397310299,0.258994159,0.118961533,0,0,1,,
17,37.2973888,-121.9474158,95008,0.397310299,0.941775739,0.504450968,0,0,1,,
18,37.3028574,-121.9931802,95051,0.476904035,0.920367981,0.492364432,0,0,1,,
19,37.3028574,-121.9939976,95051,0.476904035,0.909259789,0.486092894,0,0,1,,
20,37.2857072,-122.003931,95070,0.268768215,0.804371799,0.426874524,1,0,1,,
21,37.2989946,-121.9651317,95032,0.22024123,1.652474294277900,0.905701959,1,0,1,,
22,37.2991858,-122.0064041,95070,0.268768215,0.905365944,0.48389448,1,0,1,,
23,37.3005419,-121.9989353,95051,0.476904035,0.999430303,0.537001972,0,0,1,,
24,37.3085199,-121.9964838,95051,0.476904035,0.689494313,0.362016217,0,0,1,,
25,37.3049715,-121.9947377,95051,0.476904035,0.82526685,0.438671593,0,0,1,,
26,37.3005419,-122.0023205,95051,0.476904035,1.068757575177820,0.576143231,0,0,1,,
27,37.2857072,-121.9827065,95032,0.22024123,1.623482194835690,0.889333403,1,0,1,,
28,37.2886359,-121.9693154,95032,0.22024123,1.288066147248640,0.699961946,1,0,1,,
29,37.298107,-121.9596214,95032,0.22024123,1.683009229115980,0.922941578,1,0,1,,
30,37.3004791,-121.9664577,95051,0.476904035,1.637142325876130,0.897045732,0,0,1,,
31,37.3085199,-121.9924486,95051,0.476904035,0.736183891,0.388376534,0,0,1,,
32,37.3049715,-122.0112639,95070,0.268768215,0.919686077,0.491979438,1,0,1,,
33,37.2795579,-121.9594172,95032,0.22024123,1.053969687663160,0.567794186,1,0,1,,
34,37.2899865,-122.0037534,95070,0.268768215,0.862836533,0.459882938,1,0,1,,
35,37.2973888,-121.9965805,95051,0.476904035,1.097065453032550,0.592125484,0,0,1,,
36,37.3028574,-121.9950849,95051,0.476904035,0.899781393,0.480741517,0,0,1,,
37,37.2989946,-121.956237,95008,0.397310299,1.551455867742630,0.848668293,0,0,1,,
38,37.2857072,-121.9681649,95032,0.22024123,1.171188650454510,0.633974459,1,0,1,,
39,37.2945064,-122.016686,95070,0.268768215,0.502041982,0.256183114,1,0,1,,
40,37.2989946,-121.9599711,95032,0.22024123,1.707867498877010,0.936976228,1,0,1,,
41,37.3028574,-121.9943559,95051,0.476904035,0.905458916,0.483946971,0,0,1,,
42,37.2991858,-121.9974636,95051,0.476904035,1.034682508786800,0.5569049,0,0,1,,
43,37.2831277,-121.9634813,95032,0.22024123,1.087962217931130,0.586985918,1,0,1,,
44,37.2918084,-121.9913894,95051,0.476904035,1.342669634694970,0.730790352,0,0,1,,
45,37.3028574,-121.9984143,95051,0.476904035,0.909565902,0.486265721,0,0,1,,
46,37.2899865,-122.0065505,95070,0.268768215,0.687931338,0.361133782,1,0,1,,
