POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,SYNTH_SENSOR_DATA,POLE_CRIT_LABEL,POLE_CRIT_CALC
37.2795579,-122.0188834,,,,,,,,
37.2795579,-122.013054,,,,,,,,
37.2795579,-122.0101894,,,,,,,,
37.2795579,-122.0069774,,,,,,,,
37.2795579,-122.0024453,,,,,,,,
37.2795579,-121.9979053,,,,,,,,
37.2795579,-121.9976531,,,,,,,,
37.2795579,-121.9975076,,,,,,,,
37.2795579,-121.9928472,,,,,,,,
37.2795579,-121.9862343,,,,,,,,
37.2795579,-121.9847421,,,,,,,,
37.2795579,-121.9798028,,,,,,,,
37.2795579,-121.9766085,,,,,,,,
37.2795579,-121.9707411,,,,,,,,
37.2795579,-121.9695123,,,,,,,,
37.2795579,-121.9663057,,,,,,,,
37.2795579,-121.9596081,,,,,,,,
37.2795579,-121.9556141,,,,,,,,
37.2795579,-121.9527805,,,,,,,,
37.2795579,-121.9490298,,,,,,,,
37.2795579,-121.9430435,,,,,,,,
37.2795579,-121.9371344,,,,,,,,
37.2795579,-121.9343532,,,,,,,,
37.2795579,-121.9322006,,,,,,,,
37.2795579,-121.925979,,,,,,,,
37.2795579,-121.9207074,,,,,,,,
37.2795579,-121.9199162,,,,,,,,
37.2795579,-121.9170285,,,,,,,,
37.2795579,-121.9119998,,,,,,,,
37.2795579,-121.9084463,,,,,,,,
37.2795579,-121.9033248,,,,,,,,
37.2795579,-121.8976312,,,,,,,,
37.2795579,-121.8960106,,,,,,,,
37.2795579,-121.892667,,,,,,,,
37.2795579,-121.8883961,,,,,,,,
37.2795579,-121.883763,,,,,,,,
37.2795579,-121.8817805,,,,,,,,
37.2795579,-121.8787529,,,,,,,,
37.2795579,-121.8777111,,,,,,,,
37.2795579,-121.8723035,,,,,,,,
37.2795579,-121.8657674,,,,,,,,
37.2795579,-121.862589,,,,,,,,
37.2795579,-121.858692,,,,,,,,
37.2795579,-121.8553502,,,,,,,,
37.2795579,-121.8510025,,,,,,,,
37.2795579,-121.8499332,,,,,,,,
37.2795579,-121.8463677,,,,,,,,
37.2795579,-121.8399079,,,,,,,,
37.2795579,-121.8365594,,,,,,,,
37.2795579,-121.8311446,,,,,,,,
37.2795579,-121.8298637,,,,,,,,
37.2795579,-121.8293726,,,,,,,,
37.2795579,-121.8239557,,,,,,,,
37.2795579,-121.8211229,,,,,,,,
37.2795579,-121.817384,,,,,,,,
37.2795579,-121.8145385,,,,,,,,
37.2795579,-121.8083831,,,,,,,,
37.2795579,-121.8046824,,,,,,,,
37.2795579,-121.8040808,,,,,,,,
37.2795579,-121.8022282,,,,,,,,
37.2795579,-121.7970786,,,,,,,,
37.2795579,-121.7933781,,,,,,,,
37.2795579,-121.789978,,,,,,,,
37.2795579,-121.7835357,,,,,,,,
37.2795579,-121.7812051,,,,,,,,
37.2795579,-121.7788891,,,,,,,,
37.2795579,-121.7761946,,,,,,,,
37.2795579,-121.7759337,,,,,,,,
37.2795579,-121.7742537,,,,,,,,
37.2795579,-121.7676667,,,,,,,,
37.2795579,-121.7626511,,,,,,,,
37.2795579,-121.7599893,,,,,,,,
37.2795579,-121.7575176,,,,,,,,
37.2795579,-121.7518075,,,,,,,,
37.2795579,-121.746808,,,,,,,,
37.2795579,-121.7423642,,,,,,,,
37.2795579,-121.7358085,,,,,,,,
37.2795579,-121.7346663,,,,,,,,
37.28163919094946,-122.0206912,,,,,,,,
37.28163919094946,-122.0182962,,,,,,,,
37.28163919094946,-122.0144962,,,,,,,,
37.28163919094946,-122.0106806,,,,,,,,
37.28163919094946,-122.0040596,,,,,,,,
37.28163919094946,-121.9996299,,,,,,,,
37.28163919094946,-121.9929881,,,,,,,,
37.28163919094946,-121.9880943,,,,,,,,
37.28163919094946,-121.9861403,,,,,,,,
37.28163919094946,-121.9820406,,,,,,,,
37.28163919094946,-121.9757638,,,,,,,,
37.28163919094946,-121.9748345,,,,,,,,
37.28163919094946,-121.971991,,,,,,,,
37.28163919094946,-121.9711635,,,,,,,,
37.28163919094946,-121.9702192,,,,,,,,
37.28163919094946,-121.9654845,,,,,,,,
37.28163919094946,-121.9647431,,,,,,,,
37.28163919094946,-121.9584503,,,,,,,,
37.28163919094946,-121.9578342,,,,,,,,
37.28163919094946,-121.9541032,,,,,,,,
37.28163919094946,-121.9540568,,,,,,,,
37.28163919094946,-121.9505219,,,,,,,,
37.28163919094946,-121.94687,,,,,,,,
37.28163919094946,-121.9403194,,,,,,,,
37.28163919094946,-121.9363719,,,,,,,,
37.28163919094946,-121.9356495,,,,,,,,
37.28163919094946,-121.9335618,,,,,,,,
37.28163919094946,-121.9284617,,,,,,,,
37.28163919094946,-121.9276967,,,,,,,,
37.28163919094946,-121.9215914,,,,,,,,
37.28163919094946,-121.919345,,,,,,,,
37.28163919094946,-121.9156743,,,,,,,,
37.28163919094946,-121.9094264,,,,,,,,
37.28163919094946,-121.9067864,,,,,,,,
37.28163919094946,-121.9032842,,,,,,,,
37.28163919094946,-121.8967504,,,,,,,,
37.28163919094946,-121.8921656,,,,,,,,
37.28163919094946,-121.8905681,,,,,,,,
37.28163919094946,-121.8868468,,,,,,,,
37.28163919094946,-121.8848485,,,,,,,,
37.28163919094946,-121.8814116,,,,,,,,
37.28163919094946,-121.8798135,,,,,,,,
37.28163919094946,-121.8785275,,,,,,,,
37.28163919094946,-121.8738067,,,,,,,,
37.28163919094946,-121.872829,,,,,,,,
37.28163919094946,-121.8675998,,,,,,,,
37.28163919094946,-121.8664106,,,,,,,,
37.28163919094946,-121.8645899,,,,,,,,
37.28163919094946,-121.8604454,,,,,,,,
37.28163919094946,-121.858065,,,,,,,,
37.28163919094946,-121.8551897,,,,,,,,
37.28163919094946,-121.8541383,,,,,,,,
37.28163919094946,-121.8490754,,,,,,,,
37.28163919094946,-121.845312,,,,,,,,
37.28163919094946,-121.8444233,,,,,,,,
37.28163919094946,-121.8416463,,,,,,,,
37.28163919094946,-121.8385242,,,,,,,,
37.28163919094946,-121.8368122,,,,,,,,
37.28163919094946,-121.8316242,,,,,,,,
37.28163919094946,-121.8314579,,,,,,,,
37.28163919094946,-121.8283149,,,,,,,,
37.28163919094946,-121.8253612,,,,,,,,
37.28163919094946,-121.818805,,,,,,,,
37.28163919094946,-121.8138363,,,,,,,,
37.28163919094946,-121.8113225,,,,,,,,
37.28163919094946,-121.8095087,,,,,,,,
37.28163919094946,-121.8094836,,,,,,,,
37.28163919094946,-121.8085316,,,,,,,,
37.28163919094946,-121.8071974,,,,,,,,
37.28163919094946,-121.80241,,,,,,,,
37.28163919094946,-121.8021066,,,,,,,,
37.28163919094946,-121.7981955,,,,,,,,
37.28163919094946,-121.7946437,,,,,,,,
37.28163919094946,-121.7936192,,,,,,,,
37.28163919094946,-121.7877446,,,,,,,,
37.28163919094946,-121.7832283,,,,,,,,
37.28163919094946,-121.7791095,,,,,,,,
37.28163919094946,-121.7740098,,,,,,,,
37.28298499541484,-122.0207342,,,,,,,,
37.28298499541484,-122.0164182,,,,,,,,
37.28298499541484,-122.0161713,,,,,,,,
37.28298499541484,-122.0105344,,,,,,,,
37.28298499541484,-122.0057054,,,,,,,,
37.28298499541484,-122.0049873,,,,,,,,
37.28298499541484,-122.0048545,,,,,,,,
37.28298499541484,-122.0043066,,,,,,,,
37.28298499541484,-122.0020551,,,,,,,,
37.28298499541484,-121.99554,,,,,,,,
37.28298499541484,-121.9914167,,,,,,,,
37.28298499541484,-121.9893081,,,,,,,,
37.28298499541484,-121.9833365,,,,,,,,
37.28298499541484,-121.9817796,,,,,,,,
37.28298499541484,-121.9801823,,,,,,,,
37.28298499541484,-121.9749072,,,,,,,,
37.28298499541484,-121.9703766,,,,,,,,
37.28298499541484,-121.9649643,,,,,,,,
37.28298499541484,-121.9608422,,,,,,,,
37.28298499541484,-121.9553,,,,,,,,
37.28298499541484,-121.9501347,,,,,,,,
37.28298499541484,-121.9475917,,,,,,,,
37.28298499541484,-121.9466237,,,,,,,,
37.28298499541484,-121.9408503,,,,,,,,
37.28298499541484,-121.9366416,,,,,,,,
37.28298499541484,-121.9308265,,,,,,,,
37.28298499541484,-121.9250398,,,,,,,,
37.28298499541484,-121.9233023,,,,,,,,
37.28298499541484,-121.9220151,,,,,,,,
37.28298499541484,-121.9198588,,,,,,,,
37.28298499541484,-121.9161166,,,,,,,,
37.28298499541484,-121.9134069,,,,,,,,
37.28298499541484,-121.9127368,,,,,,,,
37.28298499541484,-121.9061792,,,,,,,,
37.28298499541484,-121.9000494,,,,,,,,
37.28298499541484,-121.8934177,,,,,,,,
37.28298499541484,-121.8868832,,,,,,,,
37.28298499541484,-121.8811755,,,,,,,,
37.28298499541484,-121.8800966,,,,,,,,
37.28298499541484,-121.8768958,,,,,,,,
37.28298499541484,-121.8717336,,,,,,,,
37.28298499541484,-121.8675921,,,,,,,,
37.28298499541484,-121.8671616,,,,,,,,
37.28298499541484,-121.8660429,,,,,,,,
37.28298499541484,-121.8595631,,,,,,,,
37.28298499541484,-121.8553625,,,,,,,,
37.28298499541484,-121.8496443,,,,,,,,
37.28298499541484,-121.8476422,,,,,,,,
37.28298499541484,-121.8445477,,,,,,,,
37.28298499541484,-121.8404651,,,,,,,,
37.28298499541484,-121.8382969,,,,,,,,
37.28298499541484,-121.8335199,,,,,,,,
