POLE_LAT,POLE_LONG,POLE_ZIPCODE,POLE_POP_SCALED,POLE_SUB_DIST,POLE_SUB_DIST_SCALED,POLE_ZONE,POLE_TILT,FAKE_OR_SYNTH,POLE_CRIT_LABEL,POLE_CRIT_CALC,POLE_CRIT_SIM,Unnamed: 13,Unnamed: 14,Unnamed: 15,Population,Distance,Zone,Tilt Angle,Criticality Label
37.2767965,-122.0170435,95070,0.268768215,0.196660302,0.032770882,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2786442,-122.0170232,95070,0.268768215,0.147737683,0.024251792,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2768026,-122.0170616,95070,0.268768215,0.197249374,0.032873459,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2792909,-122.0207976,95070,0.268768215,0.384797486,0.065531958,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2776032,-122.0146409,95070,0.268768215,0.134415631,0.02193197,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2709035,-122.0207343,95070,0.268768215,0.528014981,0.090470991,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.277612,-122.0171002,95070,0.268768215,0.176669772,0.029289851,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2777945,-122.020994,95070,0.268768215,0.410636903,0.070031479,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2776016,-122.0145179,95070,0.268768215,0.137613098,0.022488757,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2786434,-122.0169232,95070,0.268768215,0.142269957,0.023299675,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2795579,-122.021372,95070,0.268768215,0.422601849,0.072114983,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2777961,-122.0231083,95070,0.268768215,0.552052041,0.09465666,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2782278,-122.0145162,95070,0.268768215,0.116962931,0.018892862,1,0.3,0,,,,,,,Low,Low,Forest,Low,
37.2795579,-122.0069774,95070,0.268768215,0.578173446,0.099205284,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2795579,-121.9979053,95070,0.268768215,1.203684965,0.208128093,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2795579,-121.9976531,95070,0.268768215,1.221093644,0.211159536,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28163919,-122.0106806,95070,0.268768215,0.320427069,0.203562861,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28163919,-122.0040596,95070,0.268768215,0.777494835,0.170482478,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.282985,-122.0164182,95070,0.268768215,0.104464974,0.206839679,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.282985,-122.0161713,95070,0.268768215,0.092655728,0.229507457,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.282985,-122.0105344,95070,0.268768215,0.33732901,0.194480983,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.282985,-122.0043066,95070,0.268768215,0.763423722,0.080143167,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.282985,-122.0020551,95070,0.268768215,0.918438796,0.123789663,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.282985,-121.9914167,95070,0.268768215,1.65230895,0.186336103,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28388274,-122.0166528,95070,0.268768215,0.139307943,0.275766923,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28388274,-122.0101713,95070,0.268768215,0.369744341,0.253427876,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28388274,-122.0058344,95070,0.268768215,0.662730582,0.201790896,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28388274,-121.9995528,95070,0.268768215,1.093535423,0.153220109,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28388274,-121.9981692,95070,0.268768215,1.188742193,0.142392488,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28388274,-121.9977852,95070,0.268768215,1.215176623,0.126709115,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28886784,-122.0141242,95070,0.268768215,0.29780019,0.081093444,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28886784,-122.0044847,95070,0.268768215,0.800760384,0.189626755,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28886784,-122.0028695,95070,0.268768215,0.905865915,0.199563741,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28886784,-122.0017921,95070,0.268768215,0.976777553,0.203553204,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.28886784,-121.9980791,95070,0.268768215,1.224376195,0.319840529,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2890735,-122.0144104,95070,0.268768215,0.300357319,0.260952282,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2890735,-122.0078905,95070,0.268768215,0.590764833,0.211257832,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2890735,-122.0025606,95070,0.268768215,0.928496424,0.190197165,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2890735,-121.998632,95070,0.268768215,1.1891041,0.097339649,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2906222,-122.0182408,95070,0.268768215,0.405010745,0.078535538,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.29544619,-122.0075391,95070,0.268768215,0.752429067,0.063413563,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2970086,-122.0186782,95070,0.268768215,0.629291174,0.054322882,1,0.3,1,,,,,,,Low,Low,Forest,Low,
37.2970086,-122.0139928,95070,0.268768215,0.591578238,0.13391391,1,0.3,1,,,,,,,Low,Low,Forest,Low,
