,POLE_LAT,POLE_LONG,POLE_COLOR,POLE_SENSOR_DATA,POLE_STATE,POLE_CRIT_INDEX,SYNTH_OR_REAL,POLE_ZONE,POLE_PROX_ROAD,POLE_SUB_DIST_SCALED,POLE_ZIPCODE,POLE_ZIPCODE__SCALED
0,37.2795579,-122.0182492,1,0,CA,0,1,,,0.21049710133731747,,
1,37.2795579,-122.0131001,1,0,CA,0,1,,,0.16202303579984867,,
2,37.2795579,-122.0108646,1,0,CA,0,1,,,0.3118173618308712,,
3,37.2795579,-122.008969,1,0,CA,0,1,,,0.4413673406987518,,
4,37.2795579,-122.002583,1,0,CA,0,1,,,0.8809231858463815,,
5,37.2795579,-121.9975566,1,0,CA,0,1,,,1.2277549093846687,,
6,37.2795579,-121.9954484,1,0,CA,0,1,,,1.3732972352497206,,
7,37.2795579,-121.9894266,1,0,CA,0,1,,,1.789135850826221,,
8,37.2795579,-121.988956,1,0,CA,0,1,,,1.8194956434124054,,
9,37.2795579,-121.9888017,1,0,CA,0,1,,,1.8145364329777345,,
10,37.2795579,-121.9842032,1,0,CA,0,1,,,1.5514295364248651,,
11,37.2795579,-121.9787602,1,0,CA,0,1,,,1.2726502641802067,,
12,37.2795579,-121.9744865,1,0,CA,0,1,,,1.0953271857991755,,
13,37.2795579,-121.9701014,1,0,CA,0,1,,,0.9747742469227539,,
14,37.2795579,-121.9675657,1,0,CA,0,1,,,0.9432207211253961,,
15,37.2795579,-121.964513,1,0,CA,0,1,,,0.9477646166279419,,
16,37.2795579,-121.9598291,1,0,CA,0,1,,,1.0413723842174676,,
17,37.2795579,-121.9594172,1,0,CA,0,1,,,1.0539696876631626,,
18,37.2795579,-121.9591318,1,0,CA,0,1,,,1.063057603282855,,
19,37.2795579,-121.9550796,1,0,CA,0,1,,,1.2194991676687401,,
20,37.2795579,-121.9539787,1,0,CA,0,1,,,1.2693609537103019,,
21,37.2795579,-121.949879,1,0,CA,0,1,,,1.179330858188676,,
22,37.28168967616788,-122.0189597,1,0,CA,0,1,,,0.2534490301315487,,
23,37.28168967616788,-122.0166085,1,0,CA,0,1,,,0.09290184,,
24,37.28168967616788,-122.0159186,1,0,CA,0,1,,,0.048288662,,
25,37.28168967616788,-122.0137783,1,0,CA,0,1,,,0.10822018888188992,,
26,37.28168967616788,-122.011514,1,0,CA,0,1,,,0.2631583281842401,,
27,37.28168967616788,-122.0112123,1,0,CA,0,1,,,0.2839284518246336,,
