POLE_LAT,POLE_LONG
37.2795579,-122.0182492
37.2795579,-122.0131001
37.2795579,-122.0108646
37.2795579,-122.008969
37.2795579,-122.002583
37.2795579,-121.9975566
37.2795579,-121.9954484
37.2795579,-121.9894266
37.2795579,-121.988956
37.2795579,-121.9888017
37.2795579,-121.9842032
37.2795579,-121.9787602
37.2795579,-121.9744865
37.2795579,-121.9701014
37.2795579,-121.9675657
37.2795579,-121.964513
37.2795579,-121.9598291
37.2795579,-121.9594172
37.2795579,-121.9591318
37.2795579,-121.9550796
37.2795579,-121.9539787
37.2795579,-121.949879
37.28168967616788,-122.0189597
37.28168967616788,-122.0166085
37.28168967616788,-122.0159186
37.28168967616788,-122.0137783
37.28168967616788,-122.011514
37.28168967616788,-122.0112123
37.28168967616788,-122.0102665
37.28168967616788,-122.0061486
37.28168967616788,-122.0036798
37.28168967616788,-121.998489
37.28168967616788,-121.9960314
37.28168967616788,-121.9906291
37.28168967616788,-121.9855373
37.28168967616788,-121.9825733
37.28168967616788,-121.9801176
37.28168967616788,-121.9781687
37.28168967616788,-121.9715948
37.28168967616788,-121.971006
37.28168967616788,-121.9708138
37.28168967616788,-121.9697496
37.28168967616788,-121.9673963
37.28168967616788,-121.9614736
37.28312774982139,-122.0189932
37.28312774982139,-122.0147021
37.28312774982139,-122.0124721
37.28312774982139,-122.011779
37.28312774982139,-122.0078639
37.28312774982139,-122.0056585
37.28312774982139,-122.0029731
37.28312774982139,-121.9979445
37.28312774982139,-121.995419
37.28312774982139,-121.9928545
37.28312774982139,-121.9920513
37.28312774982139,-121.9916682
37.28312774982139,-121.988599
37.28312774982139,-121.9860147
37.28312774982139,-121.9811012
37.28312774982139,-121.9796294
37.28312774982139,-121.9754498
37.28312774982139,-121.9715694
37.28312774982139,-121.9658901
37.28312774982139,-121.9655457
37.28312774982139,-121.9641137
37.28312774982139,-121.9634813
37.285707212548765,-122.0156579
37.285707212548765,-122.0094674
37.285707212548765,-122.003931
37.285707212548765,-121.9975929
37.285707212548765,-121.9910889
37.285707212548765,-121.9892108
37.285707212548765,-121.9827065
37.285707212548765,-121.9768024
37.285707212548765,-121.9712965
37.285707212548765,-121.9681649
37.285707212548765,-121.9630836
37.285707212548765,-121.9604665
37.285707212548765,-121.9585724
37.285707212548765,-121.9552982
37.285707212548765,-121.9531547
37.285707212548765,-121.9491126
37.285707212548765,-121.9431663
37.285707212548765,-121.9419646
37.285707212548765,-121.9374106
37.285707212548765,-121.9359549
37.285707212548765,-121.9296438
37.285707212548765,-121.9236807
37.28821094727278,-122.0195862
37.28821094727278,-122.0169681
37.28821094727278,-122.0104479
37.28821094727278,-122.008093
37.28821094727278,-122.0079206
37.28821094727278,-122.0036151
37.28821094727278,-122.0013375
37.28821094727278,-121.998313
37.28821094727278,-121.9916712
37.28821094727278,-121.9915775
37.28821094727278,-121.9903897
37.28821094727278,-121.9837497
37.28821094727278,-121.9788748
37.28821094727278,-121.9763759
37.28821094727278,-121.9749696
37.28821094727278,-121.9707435
37.28821094727278,-121.9660897
37.28821094727278,-121.9598376
37.28821094727278,-121.9579513
37.28821094727278,-121.9546855
37.28821094727278,-121.9521044
37.28821094727278,-121.9460277
37.28863590103395,-122.0166699
37.28863590103395,-122.0133168
37.28863590103395,-122.0096485
37.28863590103395,-122.0066008
37.28863590103395,-122.0021944
37.28863590103395,-121.9994561
37.28863590103395,-121.996936
37.28863590103395,-121.9958347
37.28863590103395,-121.9902546
37.28863590103395,-121.9880796
37.28863590103395,-121.9862605
