POLE_LAT,POLE_LONG,EXPECTED_CRIT_SCORE,TILT_ANGLE
37.2795579,-121.9084463,2,Medium
37.2795579,-121.892667,2,Medium
37.2795579,-121.8787529,2,Medium
37.28163919,-121.9094264,2,Medium
37.28163919,-121.8848485,2,Medium
37.28163919,-121.8798135,2,Medium
37.282985,-121.8811755,2,Medium
37.28388274,-121.8996464,2,Medium
37.28388274,-121.8884843,2,Medium
37.28646281,-121.8907905,2,Medium
37.28646281,-121.8870446,2,Medium
37.28886784,-121.9010887,2,Medium
37.28886784,-121.882904,2,Medium
37.2890735,-121.9032869,2,Medium
37.2906222,-121.896169,2,Medium
37.2906222,-121.8911151,2,Medium
37.29305965,-121.8951707,2,Medium
37.29305965,-121.8927632,2,Medium
37.29544619,-121.8923336,2,Medium
37.2970086,-121.8873608,2,Medium
37.32058743,-121.952438,2,Medium
37.32058743,-121.9509107,2,Medium
37.32194949,-121.94932,2,Medium
37.32454467,-121.9541232,2,Medium
37.32454467,-121.9519304,2,Medium
37.32454467,-121.9415257,2,Medium
37.32645688,-121.9444065,2,Medium
37.32645688,-121.9388501,2,Medium
37.3289879,-121.9561356,2,Medium
37.3289879,-121.9557449,2,Medium
37.3289879,-121.9447439,2,Medium
37.3289879,-121.9375332,2,Medium
37.3289879,-121.9349935,2,Medium
37.2795579,-121.9490298,2,Medium
37.2795579,-121.9371344,2,Medium
37.2795579,-121.9170285,2,Medium
37.28163919,-121.94687,2,Medium
37.28163919,-121.9356495,2,Medium
37.28163919,-121.919345,2,Medium
37.282985,-121.9501347,2,Medium
37.282985,-121.9366416,2,Medium
37.282985,-121.9250398,2,Medium
37.282985,-121.9233023,2,Medium
37.282985,-121.9220151,2,Medium
37.282985,-121.9161166,2,Medium
37.282985,-121.9134069,2,Medium
37.28388274,-121.9510815,2,Medium
37.28388274,-121.9496318,2,Medium
37.28388274,-121.9394847,2,Medium
37.28388274,-121.9384529,2,Medium
37.28388274,-121.9247315,2,Medium
37.28388274,-121.9157427,2,Medium
37.28388274,-121.9143632,2,Medium
37.28646281,-121.9477785,2,Medium
37.28886784,-121.9478235,2,Medium
37.28886784,-121.9231944,2,Medium
37.28886784,-121.9116355,2,Medium
37.2890735,-121.9511461,2,Medium
37.2890735,-121.9385148,2,Medium
37.2890735,-121.9381244,2,Medium
37.2890735,-121.929814,2,Medium
37.2890735,-121.9212094,2,Medium
37.2890735,-121.9183811,2,Medium
37.2906222,-121.9373934,2,Medium
37.2906222,-121.9316774,2,Medium
37.2906222,-121.915525,2,Medium
