POLE_LAT,POLE_LONG,POLE_SUB_DIST,POLE_ZIPCODE
37.2795579,-122.0188834,0.25307074903877,95070
37.2795579,-122.0130540,0.16502507482760,95070
37.2795579,-122.0101894,0.35784272230589,95070
37.2795579,-122.0069774,0.57817344587517,95070
37.2795579,-122.0024453,0.89041977411004,95070
37.2795579,-121.9979053,1.20368496458644,95070
37.2795579,-121.9976531,1.22109364401081,95070
37.2795579,-121.9975076,1.23113734113048,95070
37.2795579,-121.9928472,1.55290784759093,95070
37.2795579,-121.9862343,1.66529239839598,95032
37.2795579,-121.9847421,1.58122523474955,95032
37.2795579,-121.9798028,1.32232350777677,95032
37.2795579,-121.9766085,1.17746818211684,95032
37.2795579,-121.9707411,0.98749731634925,95032
37.2795579,-121.9695123,0.96470187172870,95032
37.2795579,-121.9663057,0.93937599315947,95032
37.2795579,-121.9596081,1.04805404781664,95032
37.2795579,-121.9556141,1.19628598187657,95032
37.2795579,-121.9527805,1.32646033809065,95032
37.2795579,-121.9490298,1.12531364016691,95008
37.2795579,-121.9430435,0.76427969400432,95008
37.2795579,-121.9371344,0.49630349722937,95008
37.2795579,-121.9343532,0.45024489182045,95008
37.2795579,-121.9322006,0.46870534194827,95008
37.2795579,-121.9259790,0.71935427474326,95008
37.2795579,-121.9207074,1.02910651133939,95008
37.2795579,-121.9199162,1.07854000455461,95008
37.2795579,-121.9170285,1.26262986440070,95008
37.2795579,-121.9119998,1.59211478145613,95008
37.2795579,-121.9084463,1.46382823488171,95118
37.2795579,-121.9033248,1.16729231557921,95118
37.2795579,-121.8976312,0.88836463048422,95118
37.2795579,-121.8960106,0.82618480225134,95118
37.2795579,-121.8926670,0.73611982635759,95118
37.2795579,-121.8883961,0.71931180959285,95118
37.2795579,-121.8837630,0.82935758126646,95118
37.2795579,-121.8817805,0.90740168326809,95118
37.2795579,-121.8787529,1.05014155784164,95118
37.2795579,-121.8777111,1.10416809945164,95118
37.2795579,-121.8723035,0.96020460710976,95125
37.2795579,-121.8657674,0.90694120441171,95125
37.2795579,-121.8625890,0.96000030624258,95125
37.2795579,-121.8586920,0.82703457056862,95111
37.2795579,-121.8553502,0.64990104296994,95111
37.2795579,-121.8510025,0.49155633763488,95111
37.2795579,-121.8499332,0.47416250188419,95111
37.2795579,-121.8463677,0.49771471032271,95111
37.2795579,-121.8399079,0.77355839120088,95111
37.2795579,-121.8365594,0.91336034341564,95111
37.2795579,-121.8311446,1.09743724349812,95111
37.2795579,-121.8298637,1.15450241903454,95111
37.2795579,-121.8293726,1.17741272723389,95111
37.2795579,-121.8239557,1.45889766081048,95111
37.2795579,-121.8211229,1.62112205132174,95111
37.2795579,-121.8173840,1.84521648522108,95111
37.2795579,-121.8145385,1.77859441655747,95123
37.2795579,-121.8083831,1.50703867895553,95138
37.2795579,-121.8046824,1.26123299613565,95138
37.2795579,-121.8040808,1.22165812990622,95138
37.2795579,-121.8022282,1.10071294014720,95138
37.2795579,-121.7970786,0.77651752446215,95138
37.2795579,-121.7933781,0.56745965894941,95138
37.2795579,-121.7899780,0.42322454230577,95138
37.2795579,-121.7835357,0.45947320004768,95138
37.2795579,-121.7812051,0.56595971510484,95138
37.2795579,-121.7788891,0.69296592732550,95138
37.2795579,-121.7761946,0.85480006178782,95138
37.2795579,-121.7759337,0.87098673846445,95138
37.2795579,-121.7742537,0.97676246533886,95138
37.2795579,-121.7676667,1.40725722445637,95138
37.2795579,-121.7626511,1.74347064689127,95138
37.2795579,-121.7599893,1.92339378735455,95138
37.2795579,-121.7575176,2.09109063569377,95138
37.2795579,-121.7518075,1.97858626810164,95013
37.2795579,-121.7468080,1.93685266462278,95013
