zipcode,population
00602,0.3644790898556831
00603,0.4800818146704589
00606,0.058069103549984194
00610,0.2547139997893184
00612,0.5882404578812458
00616,0.09671161206503037
00617,0.21592225850626776
00622,0.06893676041995857
00623,0.37800660135538466
00624,0.23035394501211418
00627,0.3086396994276484
00631,0.01625759331437199
00637,0.22197935320762666
00638,0.16627163875136064
00641,0.2738070156957758
00646,0.3353260297060992
00647,0.054180273183749426
00650,0.13165841497243583
00652,0.04139014712595245
00653,0.11681414375504758
00656,0.1885687699708557
00659,0.36828013624073874
00660,0.1514273675339724
00662,0.37994662733944307
00664,0.14733663401102565
00667,0.22795744232592435
00669,0.26110467361915796
00670,0.08608975034235752
00674,0.39026124512798904
00676,0.3539098985217177
00677,0.13406369605674356
00678,0.24420625724217843
00680,0.5103760665753713
00682,0.2863074546156817
00683,0.29646406123810526
00685,0.37598756978826503
00687,0.28626356262509217
00688,0.11888584571087467
00690,0.054908880227536074
00692,0.32928649180097613
00693,0.5358158643210786
00694,0.0028793145826749534
00698,0.3667790301625759
00703,0.25110607816285685
00704,0.07529232065732645
00705,0.22470943502229712
00707,0.10731591699146739
00714,0.1717581375750553
00715,0.032093823519084234
00716,0.2965255100249306
00717,0.1620228940622915
00718,0.23355806032515186
00719,0.2720425576740756
00720,0.20303557006917378
00723,0.1692211805189789
00725,0.7845605533902174
00727,0.5125004389199058
00728,0.3942203026791671
00729,0.47183889883774005
00730,0.3137575055303908
00731,0.13627585238245724
00735,0.12052740615892411
00736,0.4523684118122125
00738,0.3065592190737034
00739,0.3483092805224902
00740,0.0181800625021946
00741,0.04363741704413778
00745,0.4833561571684399
00751,0.20303557006917378
00754,0.3584044383580884
00757,0.2042118754169739
00765,0.0798658660767583
00766,0.2325222093472383
00767,0.33374591804487513
00769,0.35331296744969976
00771,0.33703781733909194
00772,0.20282488851434388
00773,0.17616489343024683
00775,0.015678219038589836
00777,0.3571403490291091
00778,0.39879384809859897
00780,0.12114189402717791
00782,0.1694581972681625
00783,0.3209118999964886
00784,0.39184135678921306
00786,0.003133888128094385
00791,0.46891569226447555
00794,0.26848730643632146
00795,0.4278240106745321
00901,0.06215105867481301
00906,3.5113592471645774e-05
00907,0.15325327434249797
00909,0.05468942027458829
00911,0.07569612697075037
00912,0.059701885599915724
00913,0.08174444327399136
00915,0.28810702622985357
00917,0.18481161557638962
00918,0.158502756417009
00920,0.15707187752378945
00921,0.33149864812668983
00923,0.2553284876575722
00924,0.49765616770251764
00925,0.07633695003335791
00926,0.9556339759120756
00927,0.13111415428912532
00934,0.0025281786579584957
00936,0.005978089118297693
00949,0.7222690403455178
00950,7.900558306120299e-05
00951,0.0003072439341269005
00952,0.08785420836405772
00953,0.6409459601811861
00956,0.6961620843428491
00957,0.4009972260261947
00959,0.44383580884160256
00960,0.015616770251764457
00961,0.2846746725657502
00962,0.19743495206994627
00965,0.08018188840900312
00966,0.14638856701429123
00968,0.030531268654096
00969,0.3706151901401032
00971,0.272007444081604
00976,0.5717897398082797
00979,0.14949611994803189
00982,0.1442115242810492
00983,0.3444116717581375
00985,0.32087678640401696
00987,0.5588416025843603
01001,0.14720495803925698
01002,0.2550036869272095
01003,0.09104954527897749
01005,0.04458548404087222
01007,0.12859475402928472
01008,0.011087116822922153
01009,0.00650479300537238
01010,0.031681238807542395
01011,0.012026405421538678
01012,0.005802521155939464
01013,0.20355349555813054
01020,0.26043751536219667
01022,0.021515853787000945
01026,0.008304364619544225
01027,0.15502651076231608
01028,0.13799641841356788
01029,0.006926156115032128
01030,0.10243512763790863
01031,0.011482144738228168
01032,0.005003686927209522
01033,0.054663085080234555
01034,0.017741142596299025
01035,0.04608659011903508
01036,0.044848835984409564
01037,0.007356297622809789
01038,0.02234102321008462
01039,0.011727939885529687
01040,0.35008251694230835
01050,0.02220934723831595
01053,0.014791600828680782
01054,0.01624881491625408
01056,0.18525053548228518
01057,0.07491484953825625
01060,0.13416903683415848
01062,0.09787913901471258
01063,0.0037747111907019204
01066,0.0005618174795463324
01068,0.016696513220267564
01069,0.07434425366059201
01070,0.005521612416166298
01071,0.014010323396186663
01072,0.012974472418273113
01073,0.05084448189894308
01074,0.0028003089996137503
01075,0.15385898381263385
01077,0.08341233891639453
01079,0.006074651497594718
01080,0.02048878120720531
01081,0.01490572000421363
01082,0.09061062537308191
01083,0.025352013764528246
01084,0.001544998068752414
01085,0.3609413954141648
01086,0.006030759507005161
01088,0.005881526739000667
01089,0.24922750096562377
01092,0.012237086976368551
01093,0.0028529793883212188
01094,0.0030812177393869165
01095,0.12569788265037396
01096,0.01946170862740967
01097,0.0009744021910881702
01098,0.009665016327820498
01103,0.021761648934302467
01104,0.20071807296604513
01105,0.10841321675620633
01106,0.14063871624705923
01107,0.10192598054706976
01108,0.23427788897082058
01109,0.26554654306682113
01118,0.12352083991713192
01119,0.12423189016468274
01128,0.023095965448225005
01129,0.06161557638962042
01151,0.07635450682959373
01199,0.0
01201,0.40823062607535376
01220,0.07552055900839215
01222,0.007277292039748586
01223,0.02031321324484708
01224,0.0015976684574598827
01225,0.02736226693352997
01226,0.060965974928894974
01229,0.0008339478212015871
01230,0.07400189613399347
01235,0.02428104919414305
01236,0.013246602759928368
01237,0.021910881702306963
01238,0.0530829734190105
01240,0.03980125706661048
01242,0.004178517504125847
01243,0.002931984971382422
01244,0.0013255381158046278
01245,0.00864672214614277
01247,0.14121809052284137
01253,0.006417009024193265
01254,0.008532602970609923
01255,0.00803223427788897
01256,0.006074651497594718
01257,0.018618982408090172
01258,0.0032831208960988796
01259,0.0055742828048737664
01260,0.0021068155482987464
01262,0.010867656869974367
01264,0.0012026405421538676
01266,0.012842796446504441
01267,0.07013062256399452
01270,0.006829593735735102
01301,0.15537764668703255
01330,0.013220267565574633
01331,0.11642789423785947
01337,0.022788721514098106
01338,0.0016415604480494398
01339,0.012623336493556655
01340,0.014932055198567365
01341,0.016090803750131676
01342,0.013097369991923872
01343,0.0006583798588433583
01344,0.013150040380631342
01346,0.004678886196846799
01347,0.0014572140875732996
01349,0.009577232346641384
01350,0.0010621861722672845
01351,0.019926963727658977
01354,0.013167597176867165
01355,0.007707433547526247
01360,0.026616103093507495
01364,0.06995505460163629
01366,0.011210014396572912
01367,0.004582323817549773
01368,0.01106956002668633
01370,0.03585097791355033
01373,0.040380631342392635
01375,0.03233961866638575
01376,0.04606025492468134
01378,0.006794480143263457
01379,0.007136837669862003
01420,0.3540942448821939
01430,0.05345166613996278
01431,0.026984795814459776
01432,0.06223006425787422
01434,0.01575722462165104
01436,0.029284736121352573
01438,0.004907124547912496
01440,0.17861406650514414
01450,0.09345482636328523
01451,0.04167105586572562
01452,0.03846694055268794
01453,0.3588872502545735
01460,0.07833842480424172
01462,0.08853892341725482
01463,0.10092524316162786
01464,0.06330102882825941
01467,0.002773973805260016
01468,0.035297938832121914
01469,0.059701885599915724
01473,0.06388040310404157
01474,0.018654096000561816
01475,0.09015414867095052
01501,0.14111274974542645
01503,0.025158889005934194
01504,0.07923382141226869
01505,0.03822992380350433
01506,0.02975876961971979
01507,0.11395238596860845
01510,0.1194388847923031
01515,0.01916324309140068
01516,0.07461638400224727
01518,0.02610695600266863
01519,0.057893535587625965
01520,0.12287123845640646
01521,0.02177920573053829
01522,0.029056497770286877
01523,0.06655781453000456
01524,0.05878015379753502
01525,0.0025457354541943184
01527,0.11627866146985498
01529,0.028003089996137504
01531,0.008769619719793531
01532,0.12425822535903648
01534,0.049431159801959335
01535,0.04108290319182555
01536,0.060465606236174016
01537,0.019733838969064922
01540,0.09911689314933811
01541,0.029960672776431756
01542,0.019330032655640997
01543,0.06999016819410793
01545,0.309868675164156
01550,0.14676603813336142
01560,0.0397398082797851
01561,0.002896871378910776
01562,0.10260191720214895
01564,0.06854173250465255
01566,0.055251237754134624
01568,0.06566241792197759
01569,0.11911408406194036
01570,0.14718740124302115
01571,0.09998595456301133
01581,0.1603988904104779
01583,0.06663682011306576
01585,0.03997682502896871
01588,0.08544014888163208
01590,0.07790828329646406
01602,0.20031426665262123
01603,0.1748305769163243
01604,0.30440851153481513
01605,0.23017837704975594
01606,0.1674655008953966
01607,0.07330840268267846
01608,0.03413041188243969
01609,0.19682046420169247
01610,0.2101987429333895
01611,0.019681168580357455
01612,0.04253133888128094
01701,0.27403525404684154
01702,0.3266090803750131
01718,0.004117068717300467
01719,0.04385687699708557
01720,0.18751536219670634
01721,0.14565995997050457
01730,0.11605920151690718
01731,0.012254643772604374
01740,0.04298781558341234
01741,0.04259278766810632
01742,0.15560588503809825
01745,0.0034850240528108427
